,Date,Open,High,Low,Close,Volume,Currency
111,2020-06-11,32.61,33.75,32.6,32.7,12449237,USD
112,2020-06-12,32.89,33.11,31.83,32.26,9668831,USD
113,2020-06-15,32.5,32.64,31.53,32.08,11013729,USD
114,2020-06-16,32.3,32.67,32.13,32.53,9299163,USD
115,2020-06-17,32.98,33.15,32.18,32.81,16036638,USD
116,2020-06-18,32.28,32.47,30.66,31.81,45334704,USD
117,2020-06-19,31.99,32.3,31.23,32.24,28979560,USD
118,2020-06-22,31.95,32.66,31.9,32.07,14389720,USD
119,2020-06-23,32.23,32.35,31.77,32.1,12699902,USD
120,2020-06-24,32.09,33.02,31.78,32.82,15060012,USD
121,2020-06-25,32.76,33.43,32.65,32.78,14754296,USD
122,2020-06-26,32.91,33.22,32.55,32.68,14473252,USD
123,2020-06-29,32.9,34.21,32.9,34.13,12207660,USD
124,2020-06-30,34.27,34.42,33.81,33.85,14650993,USD
125,2020-07-01,33.86,34.14,33.28,33.57,9122144,USD
126,2020-07-02,33.57,33.97,33.38,33.5,8613028,USD
127,2020-07-06,33.72,33.82,33.51,33.73,7075412,USD
128,2020-07-07,33.65,34.11,33.46,33.68,11560637,USD
129,2020-07-08,33.66,33.75,32.33,32.42,9703323,USD
130,2020-07-09,32.42,33.08,32.42,32.76,7193829,USD
131,2020-07-10,32.76,33.83,32.74,33.44,10514131,USD
132,2020-07-13,33.38,33.59,32.97,33.28,8143580,USD
133,2020-07-14,33.35,34.24,33.35,34.24,9866630,USD
134,2020-07-15,33.65,34.01,33.32,33.77,8596917,USD
135,2020-07-16,33.93,34.31,33.64,33.73,7005419,USD
136,2020-07-17,33.85,34.18,33.78,33.85,6168652,USD
137,2020-07-20,33.8,34.16,33.62,34.15,8063238,USD
138,2020-07-21,34.35,35.58,34.35,34.79,11880783,USD
139,2020-07-22,34.89,35.16,34.59,35.16,6465151,USD
140,2020-07-23,35.22,35.38,34.98,35.13,5534628,USD
141,2020-07-24,35.0,35.37,34.56,34.71,5034416,USD
142,2020-07-27,34.69,34.94,34.3,34.76,5249708,USD
143,2020-07-28,34.9,35.42,34.83,35.23,5719375,USD
144,2020-07-29,35.13,35.17,34.72,35.11,5557710,USD
145,2020-07-30,34.79,34.92,34.34,34.41,5757391,USD
146,2020-07-31,34.48,34.8,34.38,34.79,7289828,USD
147,2020-08-03,34.91,35.17,34.49,35.1,5695826,USD
148,2020-08-04,35.24,35.47,34.94,35.39,5348900,USD
149,2020-08-05,35.35,35.35,34.9,35.09,7170576,USD
150,2020-08-06,35.19,35.45,34.98,35.03,4582406,USD
151,2020-08-07,35.0,35.28,34.97,35.24,4449873,USD
152,2020-08-10,35.24,35.35,34.96,35.03,4850462,USD
153,2020-08-11,34.92,34.92,34.15,34.26,7306395,USD
154,2020-08-12,34.43,34.78,34.22,34.61,5190827,USD
155,2020-08-13,34.51,34.74,34.23,34.59,6207036,USD
156,2020-08-14,34.61,36.03,34.54,35.39,10493634,USD
157,2020-08-17,35.75,36.18,35.32,36.0,6611122,USD
158,2020-08-18,36.0,36.69,35.71,36.24,7774224,USD
159,2020-08-19,36.37,36.88,36.12,36.22,5053004,USD
160,2020-08-20,36.22,36.36,35.78,35.92,4265146,USD
161,2020-08-21,35.92,36.24,35.72,35.91,4945660,USD
162,2020-08-24,36.0,36.09,35.71,36.06,4576657,USD
163,2020-08-25,36.09,36.16,35.74,36.08,3941673,USD
164,2020-08-26,35.95,36.43,35.65,36.37,4732566,USD
165,2020-08-27,36.42,36.7,36.15,36.16,6213510,USD
166,2020-08-28,36.21,36.21,35.0,35.3,7028239,USD
167,2020-08-31,35.32,35.69,35.1,35.68,8123162,USD
168,2020-09-01,35.5,35.68,34.92,35.4,8451498,USD
169,2020-09-02,35.49,36.62,35.49,36.6,10797822,USD
170,2020-09-03,36.53,37.22,35.8,36.11,9318975,USD
171,2020-09-04,36.03,36.2,34.94,35.47,7584389,USD
172,2020-09-08,35.66,35.72,34.6,34.62,9244524,USD
173,2020-09-09,34.85,35.48,34.72,35.18,10371710,USD
174,2020-09-10,35.23,35.35,34.7,34.74,11600264,USD
175,2020-09-11,35.0,35.12,33.8,34.37,21628358,USD
176,2020-09-14,33.63,33.7,32.77,32.84,16737592,USD
177,2020-09-15,32.8,33.22,32.44,32.72,12842457,USD
178,2020-09-16,32.79,32.98,31.91,32.02,21915600,USD
179,2020-09-17,32.1,32.93,32.01,32.51,10615803,USD
180,2020-09-18,32.47,33.4,32.41,33.21,18409972,USD
181,2020-09-21,33.09,33.5,32.85,33.46,8611296,USD
182,2020-09-22,33.44,33.96,33.32,33.74,6711310,USD
183,2020-09-23,33.8,34.04,33.18,33.28,6180102,USD
184,2020-09-24,33.17,33.66,32.85,33.43,5840884,USD
185,2020-09-25,33.54,33.78,33.12,33.53,5060869,USD
186,2020-09-28,33.53,33.72,33.34,33.7,5062439,USD
187,2020-09-29,33.58,33.98,33.29,33.77,6598187,USD
188,2020-09-30,33.78,34.52,33.45,33.91,12820438,USD
189,2020-10-01,33.92,34.23,33.53,34.02,8658405,USD
190,2020-10-02,33.75,34.33,33.7,34.07,5702925,USD
191,2020-10-05,34.1,34.57,34.1,34.53,5274667,USD
192,2020-10-06,34.61,34.97,33.85,33.95,7658320,USD
193,2020-10-07,34.11,34.42,34.0,34.03,6114527,USD
194,2020-10-08,34.25,34.68,34.19,34.29,4451654,USD
195,2020-10-09,34.5,34.76,34.37,34.45,6388489,USD
196,2020-10-12,34.68,34.95,34.49,34.63,5526708,USD
197,2020-10-13,34.5,34.89,34.48,34.8,4770850,USD
198,2020-10-14,34.49,34.61,33.16,33.84,12086816,USD
199,2020-10-15,33.86,34.07,33.72,33.98,5598382,USD
200,2020-10-16,34.09,34.33,33.95,34.07,4953706,USD
201,2020-10-19,34.14,34.34,33.72,33.88,6491446,USD
202,2020-10-20,33.98,34.01,33.29,33.33,6891862,USD
203,2020-10-21,33.31,33.6,33.25,33.33,4685591,USD
204,2020-10-22,33.08,33.08,32.08,32.64,9890997,USD
205,2020-10-23,32.4,32.83,32.31,32.76,6179113,USD
