Date,AAPL,TSLA,DIS,T,COST,SIRI,WDC,UVXY,MRNA,OHI,SPY,GOOGL,KR,APHA,JPM,TSM,BOTZ,SAVE,SPOT,VWO,GRMN,MSFT,MGNI,SONO,SPCE
2007-08-09,3.900662899017334,,27.697429656982422,19.197383880615234,47.498802185058594,2.853848934173584,15.020047187805176,,,5.686480522155762,110.88493347167969,257.62261962890625,8.707555770874023,,31.62051773071289,6.027048110961914,,,,32.28905487060547,59.779693603515625,21.801910400390625,,,
2007-08-10,3.85776424407959,,27.831716537475586,19.01151466369629,47.506317138671875,2.8348231315612793,15.962239265441895,,,5.643784523010254,110.36627197265625,258.1331481933594,8.928486824035645,,31.677812576293945,6.100999355316162,,,,31.939464569091797,58.17304229736328,21.362895965576172,,,
2007-08-13,3.9438679218292236,,27.898868560791016,19.11422348022461,46.4022102355957,2.7396950721740723,16.166378021240234,,,5.558390140533447,110.76284790039062,258.00799560546875,8.981403350830078,,31.377120971679688,6.181114673614502,,,,32.13368606567383,59.02073669433594,21.303369522094727,,,
2007-08-14,3.8278284072875977,,27.160268783569336,18.713153839111328,45.666141510009766,2.7587203979492188,15.44403076171875,,,5.407009124755859,109.06971740722656,254.55455017089844,8.84735107421875,,30.997709274291992,5.916121006011963,,,,31.127302169799805,54.51736068725586,21.10923194885254,,,
2007-08-15,3.7003674507141113,,26.61471176147461,18.581098556518555,43.93112564086914,2.7396950721740723,15.687429428100586,,,5.430298328399658,107.5672607421875,249.02401733398438,8.762689590454102,,30.782943725585938,5.663453102111816,,,,29.594764709472656,53.68733596801758,20.9822940826416,,,
2007-08-16,3.6124093532562256,,27.344919204711914,18.546863555908203,44.486942291259766,2.577976703643799,16.03290367126465,,,5.601085662841797,108.3757095336914,246.00601196289062,8.748576164245605,,32.55116271972656,5.614151477813721,,,,29.096878051757812,52.82786178588867,20.76573944091797,,,
2007-08-17,3.767028570175171,,27.428844451904297,19.09955596923828,43.840999603271484,2.6635918617248535,16.05645751953125,,,5.795165061950684,110.36627197265625,250.270263671875,9.203642845153809,,33.65361785888672,5.977746963500977,,,,30.212724685668945,54.35255432128906,21.09429359436035,,,
2007-08-20,3.771968364715576,,27.62188720703125,18.90390396118164,43.51051330566406,2.654078722000122,16.31555938720703,,,5.655427932739258,110.3128890991211,249.20921325683594,9.122509956359863,,33.281368255615234,5.990072250366211,,,,30.385753631591797,57.53140640258789,21.101762771606445,,,
2007-08-21,3.9370808601379395,,27.940832138061523,18.952821731567383,45.27558135986328,2.6350533962249756,16.0957088470459,,,5.663191795349121,110.53407287597656,253.55856323242188,9.224809646606445,,33.07376480102539,5.959259510040283,,,,30.152700424194336,60.3393669128418,20.959880828857422,,,
2007-08-22,4.089538097381592,,28.175840377807617,19.456592559814453,46.01165008544922,2.6350533962249756,16.802356719970703,,,5.717533588409424,111.84586334228516,256.6316223144531,9.316527366638184,,32.93057632446289,6.088674545288086,,,,31.378013610839844,59.674156188964844,21.071889877319336,,,
