Date,AAPL,TSLA,DIS,T,COST,SIRI,WDC,UVXY,MRNA,OHI,SPY,GOOGL,KR,APHA,JPM,TSM,BOTZ,SAVE,SPOT,VWO,GRMN,MSFT,SONO,SPCE,MGNI
2000-05-15,678932800.0,,3892000.0,4819000.0,3392900.0,384900.0,1213900.0,,,110100.0,4441300.0,,4158200.0,,6703200.0,2156300.0,,,,,,33899600.0,,,
2000-05-16,440451200.0,,5938700.0,4458800.0,2932400.0,402800.0,1297900.0,,,121500.0,8192200.0,,5324000.0,,7925100.0,3984900.0,,,,,,48410600.0,,,
2000-05-17,398092800.0,,4089800.0,3362500.0,4054800.0,256000.0,2086800.0,,,105400.0,5907200.0,,3527600.0,,4350600.0,2548500.0,,,,,,53242000.0,,,
2000-05-18,373777600.0,,4393600.0,3673600.0,3042200.0,261500.0,1271700.0,,,81500.0,4325600.0,,2769600.0,,5156200.0,1714600.0,,,,,,53640400.0,,,
2000-05-19,740667200.0,,4461300.0,5748300.0,4730400.0,344000.0,710400.0,,,142700.0,6518400.0,,4137200.0,,5114500.0,1802200.0,,,,,,66578000.0,,,
2000-05-22,755507200.0,,4200500.0,4492800.0,8660100.0,282600.0,1550800.0,,,144100.0,10839400.0,,5892800.0,,4164600.0,2722100.0,,,,,,69955000.0,,,
2000-05-23,517585600.0,,4224400.0,4506800.0,8692300.0,206600.0,1358200.0,,,123600.0,7979200.0,,6735200.0,,5208700.0,3302700.0,,,,,,57963200.0,,,
2000-05-24,678462400.0,,4405800.0,4963900.0,40016500.0,206200.0,1173800.0,,,116300.0,11081500.0,,7022200.0,,8573100.0,4368300.0,,,,,,85482400.0,,,
2000-05-25,406750400.0,,3919000.0,4467500.0,33098200.0,640700.0,996000.0,,,87900.0,8278900.0,,5515400.0,,7721400.0,2234200.0,,,,,,94348800.0,,,
2000-05-26,181148800.0,,3368100.0,3364600.0,15012800.0,173600.0,940500.0,,,73400.0,4814000.0,,8580800.0,,6163900.0,1817400.0,,,,,,55822000.0,,,
2000-05-30,713059200.0,,7346700.0,4185900.0,28791800.0,693500.0,964100.0,,,67800.0,5362700.0,,4081600.0,,4197700.0,2242000.0,,,,,,68536400.0,,,
2000-05-31,433507200.0,,5180900.0,4418000.0,16909700.0,194300.0,605800.0,,,41000.0,6056500.0,,4235200.0,,4983100.0,2163100.0,,,,,,54968200.0,,,
2000-06-01,903840000.0,,3898500.0,4145300.0,15637200.0,497500.0,1900800.0,,,159200.0,8961600.0,,3784800.0,,8779600.0,4798600.0,,,,,,94507200.0,,,
2000-06-02,792848000.0,,5836800.0,5281100.0,12979600.0,507800.0,2041500.0,,,142000.0,8962200.0,,6811000.0,,8867400.0,11749600.0,,,,,,80463200.0,,,
2000-06-05,323668800.0,,4218900.0,3314100.0,6547400.0,174000.0,1513400.0,,,108400.0,6998100.0,,5216200.0,,4890400.0,4367400.0,,,,,,64400000.0,,,
2000-06-06,525481600.0,,3841900.0,5289900.0,12969000.0,852900.0,1682400.0,,,78200.0,4858900.0,,5756800.0,,5546800.0,3028600.0,,,,,,99019000.0,,,
2000-06-07,337019200.0,,3373600.0,4645500.0,7443500.0,1190800.0,1771600.0,,,74700.0,4919500.0,,5864800.0,,5901100.0,2730500.0,,,,,,76310600.0,,,
2000-06-08,238526400.0,,3073300.0,4517900.0,10472800.0,182800.0,959100.0,,,66500.0,5723100.0,,4751400.0,,3975100.0,5290200.0,,,,,,94765600.0,,,
2000-06-09,252358400.0,,4017500.0,5086400.0,7604100.0,128500.0,1279600.0,,,60200.0,3085300.0,,2665400.0,,10294900.0,7267700.0,,,,,,35710200.0,,,
2000-06-12,290337600.0,,3474500.0,3894000.0,8322600.0,172600.0,1486300.0,,,48300.0,3678900.0,,4603400.0,,5142600.0,4369500.0,,,,,,49260600.0,,,
2000-06-13,351456000.0,,5000400.0,4192000.0,6943800.0,217200.0,888500.0,,,40000.0,6558700.0,,4597400.0,,5649900.0,2744600.0,,,,,,44289200.0,,,
2000-06-14,277446400.0,,2941100.0,8273000.0,3403400.0,289700.0,1303700.0,,,74900.0,6420500.0,,5010400.0,,5920600.0,2479000.0,,,,,,79992400.0,,,
2000-06-15,248572800.0,,4222100.0,6229700.0,3251500.0,381200.0,1185400.0,,,100100.0,5881200.0,,5504600.0,,9911800.0,2524900.0,,,,,,65592600.0,,,
2000-06-16,303564800.0,,4973500.0,8192900.0,3507800.0,332800.0,2057500.0,,,62000.0,5567900.0,,5510000.0,,16619900.0,1501200.0,,,,,,68710600.0,,,
2000-06-19,394004800.0,,2712000.0,5087700.0,6770200.0,218600.0,3493700.0,,,62500.0,5106900.0,,5525000.0,,7731000.0,3016800.0,,,,,,46604800.0,,,
2000-06-20,501390400.0,,3295800.0,3829000.0,6683800.0,164800.0,3179000.0,,,40300.0,6480000.0,,13917800.0,,5643600.0,3631600.0,,,,,,62275000.0,,,
2000-06-21,490000000.0,,2932200.0,4606800.0,4953000.0,219100.0,2273700.0,,,69700.0,3115000.0,,7526200.0,,4059300.0,1718700.0,,,,,,160399600.0,,,
2000-06-22,467712000.0,,2864300.0,4331000.0,5329500.0,475300.0,1351800.0,,,73300.0,7490500.0,,12698200.0,,3268600.0,2129000.0,,,,,,87315200.0,,,
2000-06-23,204965600.0,,5519100.0,2769500.0,7073400.0,374900.0,783300.0,,,45100.0,4863300.0,,20134000.0,,3662500.0,5210900.0,,,,,,49811600.0,,,
