Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
FB,264.35,Call,110,09/16/22,590,158.5,160.38,162.25,161.26,763,465,1.64,28.84%,02/02/21
TR,31.59,Put,30,02/19/21,16,1.65,1.75,1.85,1.75,829,506,1.64,72.59%,02/02/21
CSX,89.57,Call,92.5,01/21/22,352,7.2,9.08,10.95,10,602,370,1.63,23.82%,02/02/21
GME,101,Put,105,02/19/21,16,46.45,47.1,47.75,46.73,779,480,1.62,0.00%,02/02/21
AAL,16.67,Call,14.5,02/05/21,2,2.01,2.09,2.17,2.11,1437,891,1.61,118.88%,02/02/21
ZNGA,10.31,Put,7,07/16/21,163,0.24,0.28,0.31,0.25,736,461,1.6,47.97%,02/02/21
SBH,15.94,Call,17.5,02/19/21,17,0.5,0.6,0.7,0.63,1572,980,1.6,76.29%,02/02/21
XPEV,46.66,Call,48,02/12/21,9,2.31,2.44,2.56,2.5,544,342,1.59,82.61%,02/02/21
PFE,35.08,Put,34.5,02/12/21,9,0.32,0.35,0.37,0.34,1369,859,1.59,20.60%,02/02/21
HOG,33.6,Put,37.5,02/19/21,16,4.1,4.5,4.9,4.6,3252,2040,1.59,0.00%,02/02/21
ZS,213.18,Call,215,02/05/21,2,4.45,4.9,5.35,4.95,629,399,1.58,52.40%,02/02/21
SNOW,311.76,Call,340,02/05/21,2,1.9,2.15,2.4,1.25,578,367,1.57,104.79%,02/02/21
CLDR,16.73,Call,15.5,02/05/21,2,1.26,1.5,1.73,1.48,790,506,1.56,115.89%,02/02/21
VCNX,2.79,Call,5,02/19/21,16,0.05,0.13,0.2,0.15,917,593,1.55,201.23%,02/02/21
HWM,26.03,Put,24,02/19/21,16,0.2,0.88,1.55,0.5,1312,847,1.55,59.56%,02/02/21
TLRY,25.47,Put,21,03/19/21,44,3,3.43,3.85,4.07,1026,667,1.54,139.84%,02/02/21
CRM,234.62,Put,205,02/12/21,9,0.06,0.13,0.2,0.16,587,386,1.52,37.26%,02/02/21
SIX,37.09,Call,30,03/19/21,44,6.5,7.15,7.8,6.9,605,397,1.52,42.79%,02/02/21
GME,101,Put,150,02/12/21,9,77.35,78.18,79,78.35,1097,722,1.52,0.00%,02/02/21
CNK,19.22,Put,20,02/19/21,16,1.75,2.08,2.4,2.14,1339,879,1.52,77.03%,02/02/21
SBUX,101.52,Put,94,02/19/21,16,0.42,0.44,0.47,0.42,1429,939,1.52,26.87%,02/02/21
FB,264.35,Call,277.5,02/05/21,2,0.9,0.94,0.98,0.93,3835,2519,1.52,43.90%,02/02/21
BSX,36.71,Put,31,02/19/21,16,0.03,0.19,0.35,0.1,7338,4812,1.52,50.50%,02/02/21
FANG,60.04,Call,65,06/18/21,135,6.8,7,7.2,7.68,535,354,1.51,60.54%,02/02/21
AMC,8.42,Call,20,03/12/21,37,1.26,1.46,1.65,1.32,584,386,1.51,263.49%,02/02/21
PFE,35.08,Call,36,02/26/21,23,0.5,0.58,0.65,0.6,1521,1012,1.5,24.65%,02/02/21
GME,101,Call,160,02/05/21,2,8.2,8.68,9.15,8.5,1748,1167,1.5,0.00%,02/02/21
TSLA,870.44,Call,1575,03/18/22,408,135.4,140.7,146,138.53,794,532,1.49,66.16%,02/02/21
HOG,33.6,Call,34,03/05/21,30,1.6,1.75,1.9,1.8,507,342,1.48,0.00%,02/02/21
GME,101,Call,450,02/05/21,2,1.89,2.16,2.42,2.01,979,661,1.48,0.00%,02/02/21
MU,82.02,Put,81,02/19/21,16,2.13,2.51,2.88,2.58,548,372,1.47,37.12%,02/02/21
FUV,27.86,Put,22.5,02/19/21,16,1.3,1.35,1.4,1.43,1173,805,1.46,0.00%,02/02/21
ACM,53.58,Call,60,02/19/21,16,0.4,1.33,2.25,0.55,526,364,1.45,61.66%,02/02/21
QS,44.1,Call,40,02/05/21,2,3.7,4.4,5.1,3.41,675,467,1.45,144.78%,02/02/21
WFC,30.95,Call,29.5,02/05/21,2,1.38,1.5,1.61,1.34,833,576,1.45,71.41%,02/02/21
XPEV,46.66,Put,41,02/19/21,16,1.19,1.25,1.31,1.21,2438,1685,1.45,77.54%,02/02/21
FB,264.35,Call,290,02/26/21,23,2.42,2.55,2.67,2.68,592,410,1.44,30.45%,02/02/21
AR,7.14,Call,11,08/20/21,198,0.15,0.83,1.5,0.77,1000,695,1.44,71.58%,02/02/21
BUD,65.25,Call,95,06/18/21,135,0.05,0.3,0.54,0.3,1340,928,1.44,29.47%,02/02/21
CCL,19.69,Call,19.5,02/26/21,23,1.61,1.75,1.89,1.66,680,475,1.43,75.14%,02/02/21
OXY,21.18,Call,22,02/05/21,2,0.2,0.23,0.25,0.21,2997,2097,1.43,86.78%,02/02/21
ZM,392.29,Call,415,02/05/21,2,1.75,2,2.25,2.1,708,499,1.42,66.29%,02/02/21
BBBY,26.65,Call,42,05/21/21,107,1.06,1.82,2.57,2.45,710,500,1.42,81.73%,02/02/21
ZM,392.29,Call,410,02/05/21,2,2.75,2.88,3,2.65,1072,754,1.42,62.69%,02/02/21
GME,101,Put,250,02/05/21,2,162.55,164.03,165.5,164.33,774,551,1.4,0.00%,02/02/21
UPS,161,Call,157.5,02/19/21,16,5.05,5.4,5.75,6.8,803,574,1.4,22.06%,02/02/21
DG,195.32,Put,195,02/05/21,2,1.1,1.45,1.8,1.45,629,454,1.39,29.59%,02/02/21
PDD,192.27,Put,140,01/21/22,352,23.8,24.33,24.85,24.45,500,362,1.38,59.22%,02/02/21
MRVL,52.57,Put,51,02/05/21,2,0.19,0.24,0.29,0.25,858,621,1.38,44.48%,02/02/21
KMI,13.91,Call,13.5,02/26/21,23,0.54,0.63,0.72,0.71,1100,805,1.37,28.52%,02/02/21
FB,264.35,Put,262.5,02/19/21,16,5.75,5.88,6,5.6,557,410,1.36,29.29%,02/02/21
SDGR,95.47,Call,50,01/21/22,352,48.6,51.05,53.5,49,700,518,1.35,63.64%,02/02/21
PFE,35.08,Put,34,02/12/21,9,0.07,0.14,0.2,0.2,1094,818,1.34,21.26%,02/02/21
IRBT,113.61,Put,115,06/18/21,135,16.5,20.88,25.25,21,2706,2024,1.34,62.22%,02/02/21
QS,44.1,Call,45,02/12/21,9,3,3.4,3.8,3.1,617,464,1.33,121.83%,02/02/21
BB,11.67,Call,2,02/05/21,2,9.65,9.75,9.85,9.9,1569,1183,1.33,"1,129.66%",02/02/21
PENN,112.3,Call,120,02/05/21,2,1.62,1.71,1.8,1.69,705,534,1.32,123.43%,02/02/21
BP,20.82,Put,21,02/05/21,2,0.43,0.45,0.48,0.45,940,712,1.32,42.69%,02/02/21
PENN,112.3,Call,110,02/05/21,2,4.75,4.98,5.2,4.8,1193,904,1.32,114.34%,02/02/21
PFE,35.08,Put,33.5,02/12/21,9,0.09,0.11,0.12,0.11,503,385,1.31,21.82%,02/02/21
SLAB,134.8,Call,155,02/19/21,16,1.5,2.35,3.2,1.7,528,403,1.31,0.00%,02/02/21
OXY,21.18,Put,12,08/20/21,198,0.73,0.81,0.89,0.72,575,438,1.31,63.30%,02/02/21
ABNB,181.21,Call,210,02/05/21,2,0.07,0.69,1.3,0.48,1085,828,1.31,114.66%,02/02/21
DIS,177.53,Call,205,02/12/21,9,0.39,0.43,0.47,0.5,612,471,1.3,49.10%,02/02/21
JD,96.5,Call,40,01/20/23,716,57.75,59.85,61.95,58.15,923,709,1.3,37.33%,02/02/21
JPM,134.22,Put,133,02/05/21,2,0.85,0.92,0.98,1.2,1163,894,1.3,25.78%,02/02/21
FB,264.35,Call,125,03/19/21,44,140.8,141.88,142.95,142.04,688,535,1.29,88.04%,02/02/21
TELL,3.42,Call,12,01/21/22,352,0.7,0.98,1.25,1.01,782,605,1.29,131.29%,02/02/21
GME,101,Call,140,02/05/21,2,10.5,11.08,11.65,11,1707,1321,1.29,0.00%,02/02/21
PWR,75.29,Call,85,02/19/21,16,0.2,0.3,0.4,0.3,595,466,1.28,0.00%,02/02/21
IAA,59.64,Call,60,02/19/21,16,2.5,2.7,2.9,2.6,605,472,1.28,44.38%,02/02/21
XPEV,46.66,Put,44,02/05/21,2,0.44,0.49,0.54,0.53,743,586,1.27,99.48%,02/02/21
BB,11.67,Call,8,02/05/21,2,3.55,3.8,4.05,3.8,825,649,1.27,223.18%,02/02/21
WDC,58.36,Put,51,02/12/21,9,0.04,0.1,0.15,0.11,922,728,1.27,0.00%,02/02/21
GOGO,12.27,Put,12,02/19/21,16,0.6,0.98,1.35,1.07,2746,2170,1.27,92.32%,02/02/21
FB,264.35,Call,100,01/20/23,716,170.65,171.68,172.7,171.69,873,693,1.26,28.80%,02/02/21
UBER,57.3,Put,56,02/12/21,9,1.83,2.03,2.23,2.26,1307,1037,1.26,60.99%,02/02/21
XSPA,2.18,Put,2,02/19/21,16,0.2,0.25,0.3,0.25,1459,1160,1.26,168.01%,02/02/21
XOM,45.89,Call,49,02/12/21,9,0.14,0.15,0.16,0.15,692,555,1.25,31.57%,02/02/21
XPEV,46.66,Call,45,02/05/21,2,2.7,2.83,2.95,2.97,509,410,1.24,109.13%,02/02/21
KR,33.24,Call,33.5,02/19/21,16,0.61,0.76,0.9,0.66,767,620,1.24,27.27%,02/02/21
HST,14.13,Put,13,02/19/21,16,0.1,0.2,0.3,0.25,5434,4375,1.24,0.00%,02/02/21
"Downloaded from Barchart.com as of 02-03-2021 09:05am CST"
